ID,Title,Description,First option,First option tooltip,Second option,Second option tooltip
E1,"Гляньте!","Просто посмотрите, с чего вы начинаете! Здесь много возможностей сделать этот продукт великим или полностью провальным.","Я сделаю всё возможное","Вот некоторые средства, которыми вы можете воспользоваться. Расходуйте их с умом!","Попробуем!","Вам это понадобится, чтобы достигнуть ваших целей."
E2,"Важное решение","Теперь вам нужно принять важное решение: будете ли вы делать свой продукт для детей или для подростков?","Дети","Ваша команда более знакома с данным типом аудитории. Значит, разработчикам проще создать продукт.","Подростки","Для этой аудитории доступна грантовая поддержка. Вы сможете легко можете её получить, если сосредоточитесь именно на подростках."
E3,"Обучающиий контент","Пора начинать делать образовательный контент. Вы можете попросить ИИ сделать это за вас или заняться этим сами.","Создать контент с помощью ИИ","Неплохая попытка, но из-за использования ИИ контент будет не таким качественным, как вы хотели.","Создать контент самому","Вы создали отличный контент, который значительно повысит вовлеченность в обучение."
E4,"Пробуемся быть в тренде","Поскольку ваше приложение ориентировано на молодое поколение, вы можете использовать сленг или формальный язык.","Сленг мне подходит","Сленг делает обучение более увлекательным для подростков. Другим поколениям это тоже может понравиться.","Я предпочитаю формальный язык","Формальный язык понятен всем. Хорошая работа."
E5,"Посещение школы","Вы узнаёте, что ваша бывшая школа проводит образовательную ярмарку для показа инновационных обучающих инструментов. Вы можете поучаствовать и прорекламировать свое приложение, но времени на подготовку мало. Нужно решить, что делать.","Создать быструю презентацию","Вы произвели впечатление на аудиторию и вызвали интерес к вашему приложению. Вы завели полезные знакомства, которые могут помочь вашему проекту в будущем!","Пропустить ярмарку и сфокусироваться на работе","Вы упустили возможность продвинуть свое приложение. Позже вы узнаете, что многие конкуренты получили ценное признание публики."
E6,"Регулирование","Поскольку ваш продукт предназначен для школ, вам нужно будет пройти соответствие новым нормативным требованиям. Это будет затратно, но не слишком. Вы будете делать это самостоятельно или наймёте юриста?","Сами","Вам следует тщательно изучить все документы для заполнения, и на это уйдет несколько недель, чтобы все осуществить.","Нанять Юриста","Стоимость большая, но вы сможете сосредоточиться на своем продукте, тогда как все документы будут подготовлены в любом случае."
E7,"Фокус-группа подростков","Вы организуете фокус-группу с подростками, чтобы протестировать бета-версию приложения. Некоторым оно кажется полезным, но другим заметно скучно и не интересно. Они говорят, что приложению не хватает чего-то «крутого».","Добавить функции из игр","Подростки заинтересованы новым контентом. Информация быстро распространяется среди их друзей, и приложение набирает популярность в сообществах, становясь более интерактивным и интересным.","Оставить текущий дизайн","Подростки могут потерять интерес и воспринять приложение как просто учебный инструмент. Вы упускаете шанс сделать приложение более привлекательным для молодой аудитории."
E8,"Челлендж в социальных сетях","В социальных сетях становится популярным челлендж, связанный с учебой и продуктивностью. У вас есть возможность выложить пост, связав ваше приложение с этим трендом.","Принять участие в челлендже","Ваш пост набирает популярность и привлекает новых пользователей в приложение.","Это не подходит бренду","Со временем другие приложения получили популярность благодаря этому челленджу."
E9,"Доступность приложения","Вы можете сделать приложение более доступным для всех, выпустив версии для разных платформ. Будете ли вы создавать десктопную и веб-версию для расширения охвата или улучшите существующий функционал.","Разработать версии для других платформ","Разрабатывая приложение для разных платформ, вы повысили его доступность и охватили более широкую аудиторию.","Улучшить существующий функционал","Вы улучшаете функциональность приложения, что повышает пользовательский опыт и удовлетворенность."
E10,"Новый отчет","Ведущая благотворительная организация по охране дикой природы опубликовала их отчет за последние шесть месяцев.","Мне стоит использовать эти данные","Эти данные помогают вашему приложению лучше ориентироваться в актуальных проблемах дикой природы.","Я буду придерживаться первоначального плана","Работа продвигается по плану, но без новых взглядов."
E11,"Утечка данных","Вы нашли в интернете статью с подробной информацией от конкурента, которая обещает актуальные данные о биоразнообразии редких видов. Однако статья не бесплатная.","Купить! Мы должны быть лучшими","Деньги были потрачены, но информация оказалась фейковой. В следующий раз стоит тщательнее проверять источники.","Я не доверяю таким статьям","Ничего не меняется, вы движетесь в прежнем темпе."
E12,"Работа в команде!","Теперь у вас есть настоящая команда энтузиастов! Пришло время организовать рабочий процесс.","Стоит пройти обучающие курсы, чтобы выбрать подходящую систему","Это занимает время и деньги, но будьте уверены — оно того стоило.","Я просто выберу самую популярную.","Команда не до конца понимает рабочую систему, а сами вы не можете ее им объяснить."
E13,"Пришло время тестировать","Пора протестировать ваши датчики слежения, чтобы убедиться в их надежности в разных условиях. Где вы проведете тесты?","Обратиться в местный зоопарк","Датчики работают корректно, но условия зоопарка далеки от реальной среды.","Обратиться в заповедник","Вы выбрали хорошее место для тестирования. Показатели разработки улучшатся."
E14,"Неожиданное приглашение","Времени мало, а первое пользовательское тестирование уже скоро, но вас неожиданно приглашают поучаствовать в благотворительной выставке. Что вы будете делать?","Сосредоточиться только на тестировании","Тестирование проходит успешно! Ваша усердная работа приносит плоды.","Подготовиться к выставке","К сожалению, тестирование прошло не так хорошо, как могло бы, но на выставке вы получили пожертвования."
E15,"Новый подход","Вы уже на финишной прямой, но один из сотрудников обнаруживает новый подход к разработке. Он уверен в эффективности нового решения.","Инвестировать в изучение и внедрение технологий","Вы успешно интегрируете новые инструменты.","Продолжить использовать существующие инструменты","Устаревшие технологии усложняют разработку."
E16,"Обратная связь от сообщества","Вы планируете собрать отзывы о вкладе вашего приложения в общественное благо от местного сообщества.","Провести открытый офлайн-форум","Члены сообщества ценят вашу открытость.","Провести опрос","Вы собираете ценные данные, но упускаете возможность прямого общения, что приводит к недовольству сообщества."
E17,"Сотрудничество","Известная организация, занимающаяся отслеживанием и задержанием браконьеров, предлагает вам сотрудничество для продвижения приложения как инструмента охраны дикой природы.","Принять предложение","Партнерство повышает доверие и узнаваемость вашего приложения, привлекая пользователей, неравнодушных к защите дикой природы.","Отказаться от сотрудничества","Экономия денег — разумное решение, но кажется, вы упустили возможность сделать приложение более узнаваемым."
E18,"Новые функции.","После анализа пользовательских отзывов команда выявляет ключевые функции, которые ваши клиенты хотели бы видеть в приложении.","Сразу разработать их","Пользователи чувствуют, что их слышат и ценят! Приложение получает множество положительных отзывов.","Я хочу следовать первоначальной идее приложения","Вы остались верны идее, но пользователи это не очень оценили."
E19,"Определение направления приложения","Вам нужно решить, на что будет ориентировано ваше приложение. Проведете ли вы масштабный опрос, чтобы узнать потребности людей, или исследуете все самостоятельно?","Я проведу опрос","Ваш опрос получил большой отклик в нескольких сообществах, и благодаря этому вы получили много обратной связи. Теперь у вас есть четкое видение будущего функционала приложения.","Я сам проведу исследование","Вы изучили информацию в интернете и проанализировали конкурентов. Спустя время вы создали план разработки."
E20,"Выбор новой функции","Стоит ли добавить функцию, позволяющую пользователям сравнивать свое потребление воды с глобальными показателями, или сосредоточиться на более персонализированных рекомендациях для каждого пользователя?","Добавим функцию глобального сравнения","Новая функция сравнения привлечет новых пользователей, которые смогут сопоставлять свои показатели с мировыми средними. Это может повысить вовлеченность, особенно среди пользователей, заинтересованных в экологических вопросах.","Добавить персонализацию","Пользователи теперь чувствуют более личную вовлеченность в приложение, так как оно теперь дает индивидуальные советы по снижению потребления воды на основе их привычек. Также они делятся опытом с другими, обеспечивая органический рост."
E21,"Тестирование приложения на себе","Вы решаете провести эксперимент и протестировать приложение внутри команды. В течение месяца вы и ваши коллеги ежедневно отслеживаете потребление воды.","Мы справились","Благодаря эксперименту все в команде стали более осознанно относиться к использованию воды. Кроме того, по сравнению с прошлым месяцем, команда значительно сократила лишний расход воды.","Посмотреть результаты","Благодаря эксперименту все в команде стали более осознанно относиться к использованию воды. Кроме того, по сравнению с прошлым месяцем, команда значительно сократила лишний расход воды."
E22,"Руководство по приложению","Некоторым пользователям может быть сложно разобраться, как пользоваться вашим приложением. Нужно предотвратить это и сделать приложение удобным.","Создать руководство пользователя","Руководство хорошо проработано и помогает пользователям легко ориентироваться в приложении. Пользователи чувствуют себя увереннее, используя все функции, что приводит к росту вовлеченности.","Сделать приложение максимально простым","Упрощенный дизайн делает приложение интуитивно понятным и доступным для пользователей всех возрастов. Приложение получит положительный отклик."
E23,"Мастер-класс по экономии воды","После эксперимента вы решаете обратиться к фермерам в округе. Ваша цель — начать с ними сотрудничество, обучить практикам экономии воды и убедить использовать ваше приложение для отслеживания водного следа.","Провести мастер-класс по сохранению воды для фермеров","Мастер-класс проходит успешно, многие фермеры приходят на мероприятие. Они ценят практические советы по сокращению расхода воды и начинают использовать ваше приложение для отслеживания потребления.","Создать общественную программу для приложения","Общественная программа привлекает нескольких фермеров, которые с энтузиазмом участвуют. Начав пользоваться приложением, они делятся опытом и историями успеха, повышая актуальность проблемы среди других."
E24,"Челлендж","Вы решаете запустить геймификационную функцию под названием «Сохрани воду сегодня». Люди могут участвовать в различных челленджах, отслеживать потребление воды и соревноваться с друзьями, зарабатывая очки и награды.","Сделать еженедельные челленджи по экономии воды","Пользователи будут участвовать в еженедельных челленджах, ставя личные цели по сокращению потребления воды. За участие они зарабатывают очки и значки, которые могут повесить в профиле напоказ.","Создать таблицу лидеров.","Таблица лидеров вызовет азарт, поскольку люди будут стремиться подняться в рейтинге."
E25,"Расширение команды экспертами","Осознавая важность аналитики данных для вашего приложения, вы хотите расширить команду исследователями и аналитиками данных.","Провести набор в университете","Вы привлекаете разнообразную группу талантливых студентов, которые вносят вклад в усилия по сохранению воды.","Запустить онлайн-портал вакансий","Онлайн-портал привлекает заявки от квалифицированных специалистов со всего мира. Вы формируете динамичную онлайн команду с богатым опытом и знаниями."
E26,"Запрос данных от правительства","Местные органы власти обратились к вам с запросом использовать данные из вашего приложения для публичного отчета о потреблении воды, а также в целях разработки водосберегающей политики и городского планирования.","Предоставить данные правительству","Правительственный отчет вызывает широкий общественный резонанс в вопросах потребления воды в регионе, а ваше приложение не раз упоминается как важный источник. Кроме того, вы получаете финансирование от инвесторов, увидевших отчет.","Отказать и сосредоточиться на разработке","Вы решили не передавать данные и сохранили строгую позицию конфиденциальности. Это укрепляет доверие ваших пользователей."
E27,"Сюрприз от посещенной деревни","После запуска приложения вы получаете неожиданное приглашение от деревни, которую посещали ранее. Они хотят устроить праздник в знак признания ваших усилий по повышению осведомленности о сохранении воды.","Я буду там","Ваше присутствие повышает моральный дух сообщества и демонстрирует вашу приверженность их усилиям по экономии воды.","Не могу дождаться праздника","Ваше присутствие повышает моральный дух сообщества и демонстрирует вашу приверженность их усилиям по экономии воды."
E28,"Встреча по обмену энергией","Вы проводите встречу, чтобы обсудить запуск вашего приложения. Жители узнают, как работает приложение и каковы преимущества обмена избыточной энергией.","Живая демонстрация функций приложения","Встреча прошла успешно: вы смогли донести идею приложения до жителей. Вы показали лучшие практики интерфейса, возможности отслеживания энергии и ее обмена.","Открытый онлайн-форум","Вместо демонстрации вы предоставляете жителям возможность высказать свои опасения и предложения по обмену энергией, функционалу приложения и возможным препятствиям."
E29,"Тестирование приложения с соседями","Один ваш сосед предложил протестировать приложение и попробовать обменяться энергией. Это поможет понять, насколько хорошо и эффективно оно работает.","Обменяться энергией","Обмен энергией проходит гладко, и вы получаете уведомление, подтверждающее перевод. Этот опыт подчеркивает эффективность приложения и укрепляет доверие к его возможностям.","Принять предложение соседа","Обмен энергией проходит гладко, и вы получаете уведомление, подтверждающее перевод. Этот опыт подчеркивает эффективность приложения и укрепляет доверие к его возможностям."
E30,"Экономия энергии","Помимо доступного обмена энергией, важно обучить жителей бережному отношению к ней. Для этого вы можете создать руководство с советами в приложении или записать видеоуроки.","Руководство в приложении","Руководство в приложении будет хорошо воспринято, так как к информации можно быстро и удобно получить доступ. Не сомневайтесь, многие жители будут использовать советы из вашего приложения.","Записать видео","Ваша команда записала обучающие видео по экономии энергии. Благодаря этим видео другие города узнали о вашем приложении и заинтересовались обменом энергии."
E31,"Бонус от электростанции","Ваша компания оценила успешный старт разработки приложения. Поэтому в этом месяце вы получите дополнительное финансирование.","Как приятно!","Ваш энтузиазм вдохновляет команду и заинтересованные стороны, создавая мотивирующую атмосферу.","Не ожидал такого!","Ваш энтузиазм вдохновляет команду и заинтересованные стороны, создавая мотивирующую атмосферу."
E32,"День обмена","Чтобы оценить рынок, у вас есть возможность протестировать приложение для обмена энергией в небольшом пригородном поселке. Однако придется потратить деньги, а приложение еще не полностью готово.","Мы не можем упустить эту возможность!","В одном из районов поселка отключили свет, но благодаря вашему приложению жители других районов пришли на помощь. Приложение еще не идеально, но оно сильно вдохновило пользователей.","Нет, подождем доработок.","Это решение позволяет доработать приложение согласно текущим планам, но вы упускаете возможность поработать с потенциальными пользователями и получить реальные отзывы."
E33,"Молодой энтузиаст","Во время разработки команда обсуждает, какие дополнительные функции стоит добавить перед запуском. Один из сотрудников предлагает необычную идею изменения интерфейса, но остальные члены команды сомневаются.","Довериться молодому энтузиасту","Вы слепо доверились идее, но отсутствие тестирования привело к большой сложности в разработке. Более того, сообществу новый дизайн не особо понравился.","Провести тестирование этой идеи","Ресурсы были потрачены на тестирование, но новый дизайн оказался не таким уж хорошим. По крайней мере, вы сделали это до релиза."
E34,"Бумажная работа","Готовясь подать заявку на статус DPG, вы понимаете, что необходимо соответствовать множеству норм и стандартов. Вам нужно решить, нанять ли консультанта для работы с регуляторной средой или полагаться на знания своей команды.","Нанять консультанта","Привлечение эксперта гарантирует, что все требования и нормы будут тщательно соблюдены, повышая шансы одобрения приложения. Однако это нагружает бюджет.","Довериться знаниям команды","Опыт вашей команды позволяет сэкономить средства, и они чувствуют себя более вовлеченными и ответственными."
E35,"Неожиданные баги","По мере приближения дня запуска вы сталкиваетесь с последним решением: придерживаться ли первоначальной даты релиза, несмотря на мелкие баги, или отложить запуск, чтобы все довести до идеала?","Запустить в запланированный срок","Вы были очень удивлены, но команда так вдохновилась, что добровольно взяла дополнительную работу, и релиз прошел без проблем. Это победа!","Отложить запуск ради исправления багов","Вы были очень удивлены, но команда так вдохновилась, что добровольно взяла дополнительную работу, и релиз прошел без проблем. Не было необходимости откладывать выпуск. Это победа!"
E36,"Призы!","Чтобы привлечь новых пользователей в приложение для обмена энергией, вы решаете запустить рекламную кампанию с особыми призами для новых пользователей. Нужно выбрать их тип.","Предложить экологичные товары","Кампания увеличивает число регистраций и укрепляет позитивный имидж бренда.","Предоставить солнечные гаджеты","Кампания увеличивает число регистраций и укрепляет позитивный имидж бренда."
E37,"Хорошее начало","Впереди сложный путь, но начало положено. Пришло время собрать и проанализировать данные о гендерном равенстве.","Организовать дебаты для местных сообществ","Дебаты значительно улучшили ваше понимание темы. Кроме того, ваша идея получила серьезную поддержку в сообществе.","Обратиться в академические учреждения за данными","Университеты предоставляют подробные и надежные данные, но процесс идет медленно, задерживая сроки разработки приложения."
E38,"Сложный выбор","Внезапный всплеск вдохновения приносит идею добавить новую функцию в приложение. Что если добавить возможность для компаний отслеживать свои инициативы в области гендерного равенства со временем, или вы сосредоточитесь на исходных функциях и разработаете инструмент, который в реальном времени предупреждает о гендерных дисбалансах в зарплатах и повышениях?","Функция отслеживания инициатив","Непредвиденная неудача стоит вам денег, но этот свежий взгляд наверняка принесет плоды в будущем.","Система оповещений в реальном времени","Приверженность первоначальной идее значительно улучшает процесс разработки."
E39,"Первый набор команды","Ура! Вы наняли свою первую небольшую команду. Однако сотрудники пришли из разных сфер и имеют разный уровень опыта, что приводит к разрозненному взаимодействию. Что насчет первого тимбилдинга?","Выезд на природу","Выезд помогает сотрудникам сблизиться в непринужденной атмосфере, улучшая коммуникацию и доверие, но теперь вам придется ускорить разработку, чтобы уложиться в сроки.","Обучающий мастер-класс","Местер-класс дает ценные навыки и знания, расширяя возможности команды, но сотрудникам уделяется не так много времени, чтобы узнать друг друга."
E40,"Доверие или прозрачность?","Готовясь к запуску MVP, вам нужно собрать первичные данные от сотрудников нескольких компаний. Однако некоторые пользователи неохотно делятся чувствительной информацией о зарплатах и бонусах, что вызывает опасения по поводу конфиденциальности и прозрачности.","Предложить анонимный сбор данных","Гарантируя анонимность, вы успешно собираете разнообразные данные. Это обогащает аналитику приложения и укрепляет доверие пользователей, но может ограничить возможность персонализированной обратной связи в будущем.","Продвигать полную прозрачность","Поощрение прозрачности формирует более сильное доверие, но приводит к меньшему числу участников и, как следствие, к ограниченному объему данных."
E41,"Пресса или посты?","Гендерное равенство — очень сложная тема, и вам нужно тщательно продумать маркетинговую стратегию. Чтобы компании поддержали ваше приложение, необходимо заручиться поддержкой широкой аудитории.","Сделать ставку на традиционные пресс-релизы","Приложение освещается в авторитетных источниках, и вы даже получаете финансирование, но охват пользователей ниже, чем мог бы быть.","Сотрудничать с инфлюенсерами","Инфлюенсеры создают интерес и обсуждение, но некоторые сомневаются в глубине понимания темы за их поддержкой."
E42,"Переполненный почтовый ящик","Вы получили множество писем на рабочую почту с вопросами о том, где можно найти дополнительную информацию или обучение. Может быть, стоит добавить в приложение образовательные модули по гендерному равенству на рабочем месте?","Добавить обучающие функции","Образовательный контент усиливает миссию приложения, делая его более ценным для пользователей, но увеличивает нагрузку на команду."," Продолжить развивать существующие инструменты","Разработка идет отлично, но без образовательных функций некоторые пользователи могут не полностью вовлечься в более глубокие цели платформы."
E43,"Спринт по структурированию кода","Готовясь подать заявку на статус DPG, вы понимаете, насколько важно структурировать код для open-source сотрудничества. Вы собираете команду разработчиков, чтобы обсудить лучшие практики. Однако это требует времени и может замедлить разработку новых функций.","Провести спринт по структурированию кода сейчас","Сосредоточившись на структуре кода, команда создает более организованную и поддерживаемую кодовую базу, что упрощает понимание и сотрудничество для будущих участников.","Отложить спринт","Вы сохраняете темп разработки функционала, но в будущем внешним участникам будет сложнее эффективно подключаться."
E44,"Презентация","Вдохновившись тем, как крупные компании представляют свои продукты, вы планируете масштабную презентацию к релизу приложения. Однако вы перегружены другими обязанностями и должны решить, выступать ли самому или делегировать задачу одному из сотрудников.","Выйти на сцену самому","Выступая лично, вы передаете свое видение и страсть, создавая сильную связь с аудиторией.","Отказаться от участия","Сотрудник был так рад возможности представить продукт, что усердно готовился несколько дней. Сообщение было передано с энтузиазмом, создав сильную связь с аудиторией."
E45,"Новые функции","После сбора большого количества отзывов вы решаете, что пришло время обновить дизайн. Однако выясняется, что, хотя многим пользователям нравится новый дизайн, преданная группа предпочитает старый интерфейс и считает его более удобным. Вам предстоит принять важное решение.","Запустить полностью новый дизайн для всех пользователей","Новый дизайн современный и отражает актуальные UX-тренды. Однако лояльные пользователи старого интерфейса могут почувствовать себя отстраненными и потерять интерес к приложению.","Предоставить пользователям выбор"," Предоставляя оба варианта дизайна, вы удовлетворяете более широкую аудиторию и сохраняете лояльных пользователей, обеспечивая стабильную вовлеченность. Однако теперь вам придется поддерживать две версии одновременно."
